,date,source,target,text,hashtags
0,2012-12-10 03:38:31+00:00,EXC,F,Weekly Top Trending S&P100 #Stocks $HPQ $DELL $WAG $BAC $XRX $NSC $AMZN $AEP $HAL $C $PFE $SO $JPM $EXC $F $CAT $MS $ORCL #OEF #trading,#Stocks #OEF #trading
1,2012-11-30 02:46:52+00:00,EXC,F,Weekly Top S&P100 #Stocks $HPQ $DELL $NSC $F $AMZN $COST $XRX $AAPL $ORCL $TWX $DOW $BHI $GOOG $EXC $HAL $CAT $NWSA $MS #OEF #trading,#Stocks #OEF #trading
2,2012-11-29 05:10:05+00:00,EXC,F,Weekly Top S&P100 #Stocks $DELL $HPQ $COST $NSC $ORCL $TWX $MS $AMZN $AAPL $INTC $NKE $DOW $LOW $LMT $EXC $XRX $UTX $F #OEF #trading,#Stocks #OEF #trading
3,2012-11-09 02:23:00+00:00,EXC,F,#iStocks Trend S&amp;P100 #Stocks $QCOM $DELL $BA $NWSA $TWX $TXN $BAX $CVS $F $DIS $MSFT $HPQ $PEP $UPS $EXC $ALL @http://iStocks.info/sp100,#iStocks #Stocks
4,2012-10-31 08:00:02+00:00,EXC,F,Hurricane Sandy Winners And Losers http://seekingalpha.com/a/knq7 $ALL $CB $ED $EXC $F $FE $GM $GNRC $KBH $LEN $M $NU $POM $SKS $TIF $TOL,
5,2012-10-30 11:57:45+00:00,EXC,F,Wall Street Breakfast: Must-Know News http://seekingalpha.com/a/kli7 $F $SPY $QQQ $AAPL $AIG $BAYZF.PK $BP $EXC $KIM $NDAQ $NYX $SHF $SVU,
6,2012-10-30 11:30:05+00:00,EXC,F,Wall Street Breakfast: Must-Know News http://seekingalpha.com/a/kli7 $F $SPY $QQQ $AAPL $AIG $BAYZF.PK $BP $EXC $KIM $NDAQ $NYX $SHF $SVU,
7,2012-10-30 02:52:56+00:00,EXC,F,Cramer's Mad Money - 14 Things To Watch In The Week Ahead (10/26/12) http://seekingalpha.com/a/kilr $AVT $BKW $CRUS $AGN $F $SIRI $CLX $EXC,
8,2012-10-28 11:10:03+00:00,EXC,F,Cramer's Mad Money - 14 Things To Watch In The Week Ahead (10/26/12) http://seekingalpha.com/a/kilr $AVT $BKW $CRUS $AGN $F $SIRI $CLX $EXC,
9,2012-10-26 22:25:03+00:00,EXC,F,Cramer's... http://bit.ly/UO5bSN $AAPL $AGN $BEAM $BKW $CHK $CLX $CRUS $CVX $DEO $EXC $F $GM $GTLS $K $LMCA $MCD $RL $SIRI $TM $VFC $XOM,
10,2012-10-26 22:20:11+00:00,EXC,F,... http://bit.ly/UO5bSN $AAPL $AGN $BEAM $BKW $CHK $CLX $CRUS $CVX $DEO $EXC $F $GM $GTLS $K $LMCA $MCD $RL $SIRI $TM $VFC $XOM,
11,2012-10-11 15:06:04+00:00,EXC,F,Facebook’s Value Is No Trick Question http://bit.ly/RRkjMl $BCS $BRK $EXC $F $FB $GE $JOYG $TER $WDC #WarrenBuffett #NYSE #StockMarket,#WarrenBuffett #NYSE #StockMarket
12,2012-10-10 19:39:06+00:00,EXC,F,Buffett's 'Secret' Reveals 5 Stocks to Buy http://bit.ly/Qir7QA $.SPX $BRK $BRK.B $EXC $F $JOY $JOYG $TER $WDC #WarrenBuffett #NYSE,#WarrenBuffett #NYSE
13,2012-10-10 04:17:15+00:00,EXC,F,Top S&P100 #Stocks $BHI $DVN $HAL $MCD $EXC $F $COP $SLB $AEP $GS $AA $ETR $BA $KO $PEP $BK $FCX $CVX $UNH $WMB $SO $MET #OEF #trading,#Stocks #OEF #trading
14,2012-10-17 10:40:01+00:00,EXC,KO,"My Mad Method: What Next To Buy, And Why? - October, 2012 Mid-Month Update http://seekingalpha.com/a/jwqj $AEP $AFL $EXC $KO $LINE $NGG",
15,2012-10-10 04:17:15+00:00,EXC,KO,Top S&P100 #Stocks $BHI $DVN $HAL $MCD $EXC $F $COP $SLB $AEP $GS $AA $ETR $BA $KO $PEP $BK $FCX $CVX $UNH $WMB $SO $MET #OEF #trading,#Stocks #OEF #trading
16,2012-10-10 04:16:15+00:00,EXC,KO,Top Trending S&P100 #Stocks $NSC $BA $EXC $AVP $GS $KO $COP $AEP $PEP $MRK $MS $UPS $MCD $ETR $WMB $CVX $MET $DVN $ALL $AXP #OEF #trading,#Stocks #OEF #trading
17,2012-11-22 18:43:14+00:00,EXC,WMT,Oversold stocks $PBR $MDLZ $VOD $JCP $WU $WMT $BIDU $EXC $WIN $PBI $IAG $NFX $ED $AEE $TROX $TDC $PGH $TE $NKTR $PWE #goodluck,#goodluck
18,2012-11-22 18:16:50+00:00,EXC,WMT,Oversold stocks $PBR $MDLZ $VOD $JCP $WU $WMT $BIDU $EXC $WIN $PBI $IAG $NFX $ED $AEE $TROX $TDC $PGH $TE $NKTR $PWE,
19,2012-10-13 15:49:24+00:00,EXC,WMT,Top Trending S&P100 #Stocks $BA $WMT $FDX $MA $NSC $S $WAG $LOW $DELL $IBM $CL $UNH $EXC $PM $DVN $JPM $GS $C $MCD $CMCSA #OEF #trading,#Stocks #OEF #trading
20,2012-10-30 11:20:04+00:00,EXC,HD,Cramer's Mad Money - Why You Can't Game A Hurricane (10/29/12) http://seekingalpha.com/a/klcn $PCLN $EXPE $ED $MSFT $HD $EXC $LOW $CLH $DG,
